trade_date,currency_sold,currency_bought,amount_sold,amount_bought,counterparty,fee_amount,fee_currency,reference
2025-01-08,USD,EUR,2500000,2293750,Deutsche Bank,1200,USD,MFG-2025-001
2025-01-15,USD,EUR,1800000,1651500,Citibank,850,USD,MFG-2025-002
2025-01-22,USD,GBP,3200000,2489600,JPMorgan,1500,USD,MFG-2025-003
2025-02-05,USD,EUR,4100000,3762800,Deutsche Bank,2000,USD,MFG-2025-004
2025-02-12,USD,GBP,2750000,2141250,Barclays,1300,USD,MFG-2025-005
2025-02-19,USD,EUR,1600000,1468800,Citibank,760,USD,MFG-2025-006
2025-03-05,USD,GBP,5000000,3895000,JPMorgan,2400,USD,MFG-2025-007
2025-03-12,USD,EUR,3300000,3027900,Deutsche Bank,1600,USD,MFG-2025-008
2025-03-19,USD,EUR,2100000,1926900,Barclays,1000,USD,MFG-2025-009
2025-03-26,USD,GBP,1900000,1480200,Citibank,900,USD,MFG-2025-010
2025-04-02,USD,EUR,2800000,2569200,JPMorgan,1350,USD,MFG-2025-011
2025-04-09,USD,GBP,3600000,2804400,Deutsche Bank,1700,USD,MFG-2025-012
2025-04-16,USD,EUR,1500000,1377000,Barclays,710,USD,MFG-2025-013
2025-04-23,USD,GBP,4200000,3274200,Citibank,2000,USD,MFG-2025-014
2025-05-07,USD,EUR,3700000,3396400,JPMorgan,1800,USD,MFG-2025-015
2025-05-14,USD,GBP,2400000,1872000,Deutsche Bank,1140,USD,MFG-2025-016
2025-05-21,USD,EUR,5500000,5049000,Citibank,2650,USD,MFG-2025-017
2025-06-04,USD,GBP,3100000,2418000,Barclays,1470,USD,MFG-2025-018
2025-06-11,USD,EUR,4600000,4222000,JPMorgan,2200,USD,MFG-2025-019
2025-06-18,USD,GBP,2200000,1715000,Deutsche Bank,1040,USD,MFG-2025-020
